CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG2M,FG2A,FG2_PCT,NS_FG2_PCT,PLUSMINUS
1642933,Keshon Gilbert,1610612764,WAS,G,22.0,3,3,0.632,1.67,4.0,0.417,0.531,-0.114
1630264,Anthony Gill,1610612764,WAS,F,33.0,25,21,0.615,2.08,3.96,0.525,0.551,-0.026
1630544,Tre Mann,1610612766,CHA,G,25.0,38,37,0.63,2.45,3.95,0.62,0.549,0.071
1630679,Ethan Thompson,1610612754,IND,G,26.0,20,19,0.598,1.9,3.95,0.481,0.507,-0.026
1631126,Caleb Love,1610612757,POR,G,24.0,43,42,0.616,2.4,3.95,0.606,0.539,0.067
1629750,Javonte Green,1610612765,DET,G,32.0,57,55,0.607,2.04,3.93,0.518,0.552,-0.034
203486,Mason Plumlee,1610612759,SAS,F-C,35.0,14,14,0.688,2.5,3.93,0.636,0.561,0.076
1629660,Ty Jerome,1610612763,MEM,G-F,28.0,8,8,0.484,2.0,3.88,0.516,0.577,-0.061
1642450,Daniss Jenkins,1610612765,DET,G,24.0,46,41,0.598,2.09,3.85,0.542,0.537,0.006
1631323,Simone Fontecchio,1610612748,MIA,F,30.0,54,52,0.541,1.98,3.81,0.519,0.539,-0.02
1630570,Trendon Watford,1610612755,PHI,G-F,25.0,35,33,0.556,2.17,3.8,0.571,0.548,0.024
1629216,Gabe Vincent,1610612737,ATL,G,29.0,33,33,0.556,2.0,3.79,0.528,0.531,-0.003
1631172,Ousmane Dieng,1610612749,MIL,F,22.0,35,35,0.623,1.86,3.77,0.492,0.534,-0.042
1629018,Gary Trent Jr.,1610612749,MIL,G,27.0,46,43,0.562,2.13,3.76,0.566,0.533,0.033
1642864,Hugo González,1610612738,BOS,G,20.0,53,48,0.609,1.7,3.75,0.452,0.538,-0.086
1631213,Tyrese Martin,1610612755,PHI,F,26.0,38,37,0.592,1.84,3.74,0.493,0.53,-0.037
1629618,Jalen Pickett,1610612743,DEN,G,26.0,35,33,0.59,1.77,3.74,0.473,0.538,-0.064
1642860,Will Riley,1610612764,WAS,F,20.0,47,44,0.617,2.06,3.7,0.557,0.535,0.022
1631123,Jamaree Bouyea,1610612756,PHX,G,26.0,32,31,0.628,1.94,3.69,0.525,0.547,-0.021
1631110,Jeremy Sochan,1610612752,NYK,F,22.0,31,24,0.693,2.1,3.65,0.575,0.55,0.026
1642269,Devin Carter,1610612758,SAC,G,23.0,22,19,0.548,2.27,3.64,0.625,0.54,0.085
1630579,Jericho Sims,1610612749,MIL,C,27.0,41,38,0.569,1.95,3.61,0.541,0.563,-0.023
1642962,Drake Powell,1610612751,BKN,G-F,20.0,45,44,0.638,1.84,3.6,0.512,0.541,-0.029
1642854,Asa Newell,1610612737,ATL,F,20.0,36,35,0.642,1.78,3.58,0.496,0.543,-0.047
1630574,Ariel Hukporti,1610612752,NYK,C,23.0,38,35,0.689,1.53,3.5,0.436,0.543,-0.107
1642905,Yang Hansen,1610612757,POR,C,20.0,34,31,0.65,1.82,3.5,0.521,0.556,-0.035
1628998,Cody Martin,1610612754,IND,F,30.0,4,3,0.667,1.5,3.5,0.429,0.52,-0.091
1631115,Orlando Robinson,1610612753,ORL,C,25.0,4,3,0.824,2.75,3.5,0.786,0.491,0.295
1629634,Brandon Clarke,1610612763,MEM,F,29.0,2,2,1.0,1.5,3.5,0.429,0.537,-0.108
1628964,Mo Bamba,1610612762,UTA,C,27.0,2,2,0.7,2.0,3.5,0.571,0.523,0.048
