CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_GT_15,FGA_GT_15,GT_15_PCT,NS_GT_15_PCT,PLUSMINUS
1629614,Andrew Nembhard,1610612754,IND,G-F,26.0,47,46,0.426,1.87,4.94,0.379,0.37,0.009
1630166,Deni Avdija,1610612757,POR,F,25.0,48,48,0.393,2.15,4.94,0.435,0.37,0.065
1642271,Kyle Filipowski,1610612762,UTA,C,22.0,58,56,0.436,1.81,4.93,0.367,0.364,0.004
202331,Paul George,1610612755,PHI,F,35.0,27,27,0.446,1.89,4.93,0.383,0.367,0.016
1629661,Cameron Johnson,1610612743,DEN,F,29.0,36,35,0.48,1.83,4.92,0.373,0.358,0.015
1631221,Collin Gillespie,1610612756,PHX,G,26.0,59,59,0.444,1.58,4.9,0.322,0.367,-0.045
202710,Jimmy Butler III,1610612744,GSW,F,36.0,38,38,0.496,1.79,4.89,0.366,0.368,-0.002
1630572,Sandro Mamukelashvili,1610612761,TOR,F-C,26.0,57,56,0.438,1.84,4.88,0.378,0.366,0.012
1626220,Royce O'Neale,1610612756,PHX,F,32.0,60,58,0.445,1.75,4.88,0.358,0.367,-0.009
1628976,Wendell Carter Jr.,1610612753,ORL,C-F,26.0,56,56,0.374,1.77,4.88,0.363,0.375,-0.013
203500,Steven Adams,1610612745,HOU,C,32.0,32,31,0.396,1.41,4.88,0.288,0.349,-0.06
1642875,Maxime Raynaud,1610612758,SAC,C,22.0,53,52,0.371,1.79,4.87,0.368,0.365,0.003
201143,Al Horford,1610612744,GSW,C-F,39.0,37,37,0.428,1.59,4.86,0.328,0.374,-0.046
1628971,Bruce Brown,1610612743,DEN,G-F,29.0,60,60,0.469,1.5,4.82,0.311,0.368,-0.056
1626164,Devin Booker,1610612756,PHX,G,29.0,44,43,0.448,1.66,4.82,0.344,0.361,-0.017
1629655,Daniel Gafford,1610612742,DAL,F-C,27.0,42,41,0.387,1.86,4.81,0.386,0.365,0.021
1630202,Payton Pritchard,1610612738,BOS,G,28.0,58,56,0.476,1.81,4.81,0.376,0.365,0.012
1642263,Reed Sheppard,1610612745,HOU,G,21.0,58,57,0.424,1.64,4.78,0.343,0.364,-0.021
1642268,Isaiah Collier,1610612762,UTA,G,21.0,51,50,0.503,2.1,4.78,0.439,0.37,0.069
1641750,Ryan Kalkbrenner,1610612766,CHA,C,24.0,49,47,0.368,1.78,4.78,0.372,0.353,0.019
1629004,Svi Mykhailiuk,1610612762,UTA,G-F,28.0,47,47,0.521,1.85,4.77,0.388,0.376,0.012
1629631,De'Andre Hunter,1610612758,SAC,F-G,28.0,45,45,0.498,1.98,4.76,0.416,0.374,0.042
1629673,Jordan Poole,1610612740,NOP,G,26.0,32,30,0.505,1.53,4.75,0.322,0.365,-0.043
1631214,Alondes Williams,1610612764,WAS,G,26.0,4,4,0.5,2.0,4.75,0.421,0.358,0.063
203924,Jerami Grant,1610612757,POR,F,31.0,45,44,0.502,1.76,4.73,0.371,0.378,-0.007
1629639,Tyler Herro,1610612748,MIA,G,26.0,15,15,0.374,1.87,4.73,0.394,0.367,0.027
1629013,Landry Shamet,1610612752,NYK,G,28.0,34,34,0.537,2.0,4.71,0.425,0.367,0.058
1642274,Yves Missi,1610612740,NOP,C,21.0,47,45,0.46,1.53,4.7,0.326,0.371,-0.045
2544,LeBron James,1610612747,LAL,F,41.0,40,39,0.491,1.75,4.7,0.372,0.372,0.001
1630598,Aaron Wiggins,1610612760,OKC,G,27.0,46,46,0.474,2.04,4.7,0.435,0.371,0.064
1642258,Zaccharie Risacher,1610612737,ATL,F,20.0,47,47,0.449,1.68,4.68,0.359,0.368,-0.009
1641708,Amen Thompson,1610612745,HOU,G-F,23.0,56,52,0.467,1.41,4.63,0.305,0.367,-0.062
1627884,Derrick Jones Jr.,1610612746,LAC,F,29.0,26,25,0.494,1.42,4.62,0.308,0.378,-0.07
203114,Khris Middleton,1610612742,DAL,F,34.0,41,39,0.486,1.71,4.61,0.37,0.364,0.006
1630573,Sam Hauser,1610612738,BOS,F,28.0,56,54,0.481,1.7,4.61,0.368,0.368,0.0
1631246,Vince Williams Jr.,1610612762,UTA,G,25.0,40,39,0.515,1.6,4.6,0.348,0.372,-0.024
203084,Harrison Barnes,1610612759,SAS,F,33.0,59,57,0.508,1.53,4.58,0.333,0.366,-0.032
1629632,Coby White,1610612766,CHA,G,26.0,32,31,0.453,1.72,4.56,0.377,0.359,0.018
1642867,Collin Murray-Boyles,1610612761,TOR,F,20.0,47,47,0.441,1.51,4.55,0.332,0.369,-0.037
1642276,Kel'el Ware,1610612748,MIA,C,21.0,56,50,0.379,1.36,4.55,0.298,0.363,-0.065
203471,Dennis Schröder,1610612739,CLE,G,32.0,50,50,0.48,1.48,4.54,0.326,0.375,-0.049
1629060,Rui Hachimura,1610612747,LAL,F,28.0,47,47,0.45,1.74,4.53,0.385,0.367,0.018
201939,Stephen Curry,1610612744,GSW,G,37.0,39,39,0.452,1.82,4.51,0.403,0.377,0.026
1641796,Pelle Larsson,1610612748,MIA,G,25.0,48,46,0.458,1.48,4.5,0.329,0.371,-0.042
1626171,Bobby Portis,1610612749,MIL,F,31.0,56,54,0.441,1.75,4.5,0.389,0.365,0.024
1630173,Precious Achiuwa,1610612758,SAC,F,26.0,52,50,0.436,1.5,4.5,0.333,0.372,-0.039
1629656,Quentin Grimes,1610612755,PHI,G,25.0,53,53,0.472,1.32,4.49,0.294,0.363,-0.069
1630533,Ziaire Williams,1610612751,BKN,F,24.0,41,40,0.474,1.66,4.49,0.37,0.378,-0.009
1630577,Julian Champagnie,1610612759,SAS,F,24.0,59,59,0.433,1.8,4.49,0.4,0.371,0.029
1630541,Moses Moody,1610612744,GSW,G,23.0,57,57,0.433,1.63,4.46,0.366,0.371,-0.004
1642267,Bub Carrington,1610612764,WAS,G,20.0,58,58,0.485,1.67,4.45,0.376,0.374,0.002
1642383,Walter Clayton Jr.,1610612763,MEM,G,22.0,51,48,0.509,1.65,4.45,0.37,0.363,0.007
1631106,Tari Eason,1610612745,HOU,F,24.0,36,36,0.475,1.53,4.44,0.344,0.364,-0.02
203507,Giannis Antetokounmpo,1610612749,MIL,F,31.0,30,29,0.465,1.7,4.43,0.383,0.356,0.028
1628963,Marvin Bagley III,1610612742,DAL,F,26.0,45,41,0.443,1.56,4.42,0.352,0.367,-0.016
1628978,Donte DiVincenzo,1610612750,MIN,G,29.0,60,60,0.411,1.6,4.4,0.364,0.373,-0.01
1629130,Duncan Robinson,1610612765,DET,F,31.0,56,55,0.44,1.59,4.38,0.363,0.367,-0.004
1631119,Jaylin Williams,1610612760,OKC,F,23.0,46,44,0.433,1.3,4.37,0.299,0.351,-0.052
1630180,Saddiq Bey,1610612740,NOP,G-F,26.0,53,53,0.495,1.51,4.36,0.346,0.37,-0.024
1642955,Kadary Richmond,1610612764,WAS,G,24.0,3,3,0.65,1.0,4.33,0.231,0.319,-0.089
1642363,Nique Clifford,1610612758,SAC,G,24.0,57,56,0.46,1.49,4.32,0.346,0.369,-0.024
1630228,Jonathan Kuminga,1610612737,ATL,F,23.0,22,21,0.505,1.68,4.32,0.389,0.362,0.028
1629027,Trae Young,1610612764,WAS,G,27.0,10,10,0.43,1.5,4.3,0.349,0.361,-0.012
1630529,Herbert Jones,1610612740,NOP,F,27.0,37,35,0.444,1.68,4.3,0.39,0.371,0.019
1629675,Naz Reid,1610612750,MIN,C-F,26.0,59,56,0.42,1.53,4.29,0.356,0.37,-0.014
1630591,Jalen Suggs,1610612753,ORL,G,24.0,35,34,0.387,1.51,4.29,0.353,0.372,-0.018
1630695,Micah Potter,1610612754,IND,C,27.0,26,25,0.368,1.69,4.27,0.396,0.371,0.025
202699,Tobias Harris,1610612765,DET,F,33.0,42,40,0.431,1.6,4.26,0.374,0.367,0.008
1642883,Sion James,1610612766,CHA,G,23.0,61,61,0.443,1.48,4.25,0.347,0.374,-0.027
1629660,Ty Jerome,1610612763,MEM,G-F,28.0,8,8,0.531,1.5,4.25,0.353,0.347,0.006
203992,Bogdan Bogdanović,1610612746,LAC,G,33.0,17,16,0.431,1.53,4.24,0.361,0.378,-0.016
1628398,Kyle Kuzma,1610612749,MIL,F,30.0,55,55,0.442,1.51,4.22,0.358,0.375,-0.017
1631101,Shaedon Sharpe,1610612757,POR,G,22.0,48,47,0.404,1.48,4.21,0.351,0.368,-0.017
203078,Bradley Beal,1610612746,LAC,G,32.0,6,6,0.676,1.67,4.17,0.4,0.373,0.027
1628366,Lonzo Ball,1610612739,CLE,G,28.0,35,33,0.505,1.4,4.11,0.34,0.377,-0.036
201942,DeMar DeRozan,1610612758,SAC,G-F,36.0,61,61,0.417,1.75,4.1,0.428,0.372,0.056
1630245,Ayo Dosunmu,1610612750,MIN,G,26.0,52,51,0.484,1.21,4.1,0.296,0.363,-0.067
1641729,Brice Sensabaugh,1610612762,UTA,F,22.0,55,53,0.501,1.53,4.09,0.373,0.366,0.007
1631121,Bryce McGowens,1610612740,NOP,G,23.0,34,32,0.457,1.24,4.09,0.302,0.362,-0.059
1629011,Mitchell Robinson,1610612752,NYK,C-F,27.0,43,39,0.448,1.47,4.09,0.358,0.369,-0.011
1630198,Isaiah Joe,1610612760,OKC,G,26.0,52,50,0.521,1.37,4.08,0.335,0.361,-0.026
1629008,Michael Porter Jr.,1610612751,BKN,F,27.0,47,45,0.38,1.53,4.04,0.379,0.369,0.01
1626156,D'Angelo Russell,1610612764,WAS,G,30.0,26,26,0.463,1.42,4.04,0.352,0.374,-0.022
1642366,Quinten Post,1610612744,GSW,C,25.0,58,54,0.402,1.43,4.03,0.355,0.367,-0.013
1631097,Bennedict Mathurin,1610612746,LAC,G-F,23.0,34,34,0.407,1.47,4.03,0.365,0.374,-0.009
201572,Brook Lopez,1610612746,LAC,C,37.0,51,46,0.389,1.37,4.02,0.341,0.365,-0.024
1629731,Dean Wade,1610612739,CLE,F-C,29.0,47,47,0.39,1.3,4.0,0.324,0.372,-0.048
1642349,Ajay Mitchell,1610612760,OKC,G,23.0,43,42,0.489,1.37,4.0,0.343,0.369,-0.026
1627749,Dejounte Murray,1610612740,NOP,G,29.0,2,2,0.471,0.5,4.0,0.125,0.345,-0.22
203937,Kyle Anderson,1610612763,MEM,F-G,32.0,24,24,0.516,1.5,4.0,0.375,0.353,0.022
1631099,Keegan Murray,1610612758,SAC,F,25.0,23,23,0.288,1.43,4.0,0.359,0.376,-0.018
1641778,Leaky Black,1610612764,WAS,F,26.0,1,1,0.364,3.0,4.0,0.75,0.36,0.391
1642461,Spencer Jones,1610612743,DEN,F,24.0,49,47,0.467,1.53,3.98,0.385,0.365,0.02
203083,Andre Drummond,1610612755,PHI,C,32.0,43,41,0.394,1.21,3.98,0.304,0.358,-0.054
1629637,Jaxson Hayes,1610612747,LAL,C-F,25.0,48,47,0.478,1.42,3.98,0.356,0.372,-0.016
1628989,Kevin Huerter,1610612765,DET,G-F,27.0,49,48,0.435,1.33,3.96,0.335,0.359,-0.024
1631245,Quenton Jackson,1610612754,IND,G,27.0,27,27,0.478,1.19,3.96,0.299,0.37,-0.071
1626172,Kevon Looney,1610612740,NOP,F,30.0,18,17,0.507,1.28,3.94,0.324,0.362,-0.038
201566,Russell Westbrook,1610612758,SAC,G,37.0,56,54,0.43,1.25,3.93,0.318,0.366,-0.048
1630241,Sam Merrill,1610612739,CLE,G,29.0,37,37,0.422,1.43,3.92,0.366,0.367,-0.002
1631114,Jalen Williams,1610612760,OKC,G-F,24.0,26,26,0.453,1.38,3.92,0.353,0.375,-0.023
1641783,Tristan da Silva,1610612753,ORL,F,24.0,53,51,0.459,1.42,3.91,0.362,0.37,-0.007
1629611,Terance Mann,1610612751,BKN,G-F,29.0,51,47,0.433,1.35,3.9,0.347,0.379,-0.032
1627936,Alex Caruso,1610612760,OKC,G,32.0,40,39,0.525,1.45,3.9,0.372,0.367,0.005
1630314,Brandon Williams,1610612742,DAL,G,26.0,51,50,0.434,1.33,3.88,0.343,0.36,-0.017
1631165,Keon Ellis,1610612739,CLE,G,26.0,52,50,0.469,1.25,3.87,0.323,0.375,-0.052
1630200,Tre Jones,1610612741,CHI,G,26.0,43,41,0.392,1.37,3.86,0.355,0.367,-0.011
1642347,Jamal Shead,1610612761,TOR,G,23.0,59,58,0.517,1.37,3.86,0.355,0.371,-0.016
1630643,Jay Huff,1610612754,IND,C,28.0,59,58,0.341,1.34,3.85,0.348,0.366,-0.018
1642857,Kasparas Jakučionis,1610612748,MIA,G,19.0,30,28,0.446,1.43,3.83,0.374,0.363,0.011
