CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS
1630692,Jordan Goodwin,1610612756,PHX,G,27.0,54,54,1.0,3.7,7.5,0.494,0.466,0.028
1642347,Jamal Shead,1610612761,TOR,G,23.0,59,59,1.0,3.59,7.47,0.481,0.457,0.024
1641775,Jordan Walsh,1610612738,BOS,G,21.0,51,51,1.0,3.41,7.47,0.457,0.468,-0.011
1627936,Alex Caruso,1610612760,OKC,G,32.0,40,40,1.0,3.33,7.43,0.448,0.472,-0.024
1630172,Patrick Williams,1610612741,CHI,F,24.0,55,55,1.0,3.65,7.38,0.495,0.475,0.02
1629723,John Konchar,1610612762,UTA,G,29.0,35,35,1.0,3.2,7.37,0.434,0.462,-0.028
1642354,KJ Simpson,1610612743,DEN,G,23.0,14,14,1.0,3.14,7.36,0.427,0.452,-0.025
1628379,Luke Kennard,1610612747,LAL,G,29.0,53,53,1.0,3.7,7.3,0.506,0.454,0.053
1641767,Ben Sheppard,1610612754,IND,G,24.0,49,49,1.0,3.35,7.29,0.459,0.459,0.001
1642920,Kobe Sanders,1610612746,LAC,G,23.0,48,48,1.0,3.48,7.27,0.479,0.461,0.018
1627752,Taurean Prince,1610612749,MIL,F,31.0,8,8,1.0,3.88,7.25,0.534,0.457,0.078
1630194,Paul Reed,1610612765,DET,F,26.0,41,41,1.0,2.93,7.24,0.404,0.487,-0.083
1642914,Javon Small,1610612763,MEM,G,23.0,23,23,1.0,3.26,7.22,0.452,0.451,0.001
202685,Jonas Valančiūnas,1610612743,DEN,C,33.0,48,48,1.0,3.63,7.21,0.503,0.488,0.015
1628370,Malik Monk,1610612758,SAC,G,28.0,48,48,1.0,3.54,7.19,0.493,0.453,0.04
1642948,Ryan Nembhard,1610612742,DAL,G,22.0,38,38,1.0,3.24,7.16,0.452,0.465,-0.013
1641842,Ronald Holland II,1610612765,DET,F,20.0,54,54,1.0,3.11,7.15,0.435,0.459,-0.024
1629234,Drew Eubanks,1610612758,SAC,F-C,29.0,35,35,1.0,3.66,7.14,0.512,0.501,0.011
1630560,Cam Thomas,1610612749,MIL,G,24.0,32,32,1.0,3.94,7.13,0.553,0.469,0.084
201144,Mike Conley,1610612750,MIN,G,38.0,46,46,1.0,3.46,7.11,0.486,0.462,0.024
1642879,Ben Saraf,1610612751,BKN,G,19.0,23,23,1.0,3.96,7.09,0.558,0.459,0.099
1642275,Tidjane Salaün,1610612766,CHA,F,20.0,34,34,1.0,3.44,7.09,0.485,0.454,0.031
1631323,Simone Fontecchio,1610612748,MIA,F,30.0,54,54,1.0,3.07,7.06,0.436,0.458,-0.023
1642272,Jared McCain,1610612760,OKC,G,22.0,45,45,1.0,3.51,7.02,0.5,0.458,0.042
1630311,Pat Spencer,1610612744,GSW,G,29.0,37,37,1.0,3.38,7.0,0.483,0.466,0.017
1642844,Dylan Harper,1610612759,SAS,G,19.0,48,48,1.0,3.0,6.96,0.431,0.454,-0.023
1631255,Karlo Matković,1610612740,NOP,F-C,24.0,47,47,1.0,3.06,6.94,0.442,0.479,-0.037
1630526,Jeremiah Robinson-Earl,1610612742,DAL,F,25.0,21,21,1.0,4.14,6.86,0.604,0.462,0.142
1631250,Pete Nance,1610612749,MIL,F,26.0,19,19,1.0,3.26,6.84,0.477,0.456,0.02
1630570,Trendon Watford,1610612755,PHI,G-F,25.0,35,35,1.0,3.37,6.83,0.494,0.462,0.032
1629216,Gabe Vincent,1610612737,ATL,G,29.0,33,33,1.0,3.42,6.82,0.502,0.459,0.043
1642382,Branden Carlson,1610612760,OKC,C,26.0,32,32,1.0,3.28,6.81,0.482,0.464,0.018
1631093,Jaden Ivey,1610612741,CHI,G,24.0,37,37,1.0,3.41,6.76,0.504,0.455,0.049
1631321,Sidy Cissoko,1610612757,POR,G,21.0,52,52,1.0,3.33,6.75,0.493,0.464,0.028
1642530,Yuki Kawamura,1610612741,CHI,G,24.0,4,4,1.0,3.5,6.75,0.519,0.45,0.069
1630534,Ochai Agbaji,1610612751,BKN,G,25.0,47,47,1.0,2.89,6.72,0.43,0.455,-0.025
1629018,Gary Trent Jr.,1610612749,MIL,G,27.0,46,46,1.0,3.24,6.7,0.484,0.458,0.026
1630619,Moussa Cisse,1610612742,DAL,C,23.0,30,30,1.0,3.17,6.7,0.473,0.491,-0.019
1631218,Trayce Jackson-Davis,1610612761,TOR,F,26.0,37,37,1.0,2.84,6.7,0.423,0.472,-0.049
1631243,Mouhamed Gueye,1610612737,ATL,F,23.0,58,58,1.0,2.91,6.69,0.436,0.483,-0.048
1631342,Daeqwon Plowden,1610612758,SAC,G-F,27.0,12,12,1.0,3.17,6.67,0.475,0.454,0.021
1627746,Skal Labissiere,1610612764,WAS,F-C,29.0,3,3,1.0,3.33,6.67,0.5,0.438,0.063
1642955,Kadary Richmond,1610612764,WAS,G,24.0,3,3,1.0,2.33,6.67,0.35,0.427,-0.077
1642269,Devin Carter,1610612758,SAC,G,23.0,22,22,1.0,3.77,6.64,0.568,0.457,0.111
1630679,Ethan Thompson,1610612754,IND,G,26.0,20,20,1.0,2.8,6.6,0.424,0.44,-0.016
1642869,Noah Penda,1610612753,ORL,G-F,21.0,38,38,1.0,3.18,6.55,0.486,0.468,0.017
1630175,Cole Anthony,1610612749,MIL,G,25.0,33,33,1.0,3.3,6.55,0.505,0.454,0.05
202691,Klay Thompson,1610612742,DAL,G,36.0,53,53,1.0,2.68,6.55,0.409,0.459,-0.05
1630208,Nick Richards,1610612741,CHI,C,28.0,35,35,1.0,3.66,6.54,0.559,0.495,0.064
1627827,Dorian Finney-Smith,1610612745,HOU,F,32.0,24,24,1.0,3.08,6.5,0.474,0.461,0.013
203903,Jordan Clarkson,1610612752,NYK,G,33.0,51,51,1.0,3.25,6.49,0.502,0.453,0.049
1629750,Javonte Green,1610612765,DET,G,32.0,57,57,1.0,2.93,6.47,0.453,0.473,-0.02
1641747,DaRon Holmes II,1610612743,DEN,F,23.0,16,16,1.0,2.94,6.44,0.456,0.488,-0.032
1630264,Anthony Gill,1610612764,WAS,F,33.0,25,25,1.0,3.0,6.44,0.466,0.471,-0.005
1629006,Josh Okogie,1610612745,HOU,G,27.0,54,54,1.0,3.06,6.44,0.474,0.464,0.011
201587,Nicolas Batum,1610612746,LAC,G-F,37.0,54,54,1.0,3.3,6.43,0.513,0.467,0.046
1642450,Daniss Jenkins,1610612765,DET,G,24.0,46,46,1.0,2.96,6.43,0.459,0.457,0.002
1631126,Caleb Love,1610612757,POR,G,24.0,43,43,1.0,3.12,6.42,0.486,0.458,0.027
1630538,Bones Hyland,1610612750,MIN,G,25.0,49,49,1.0,3.18,6.41,0.497,0.456,0.041
1628467,Maxi Kleber,1610612747,LAL,F,34.0,30,30,1.0,2.93,6.4,0.458,0.472,-0.014
1641772,Nae'Qwan Tomlin,1610612739,CLE,F,25.0,47,47,1.0,2.91,6.36,0.458,0.468,-0.01
1629020,Jarred Vanderbilt,1610612747,LAL,F,26.0,48,48,1.0,2.98,6.35,0.469,0.474,-0.006
1629618,Jalen Pickett,1610612743,DEN,G,26.0,35,35,1.0,2.66,6.34,0.419,0.46,-0.041
1630579,Jericho Sims,1610612749,MIL,C,27.0,41,41,1.0,2.63,6.34,0.415,0.478,-0.063
1642933,Keshon Gilbert,1610612764,WAS,G,22.0,3,3,1.0,3.0,6.33,0.474,0.445,0.029
1630644,Mac McClung,1610612741,CHI,G,27.0,3,3,1.0,3.0,6.33,0.474,0.47,0.004
1631213,Tyrese Martin,1610612755,PHI,F,26.0,38,38,1.0,2.89,6.32,0.458,0.457,0.002
1628997,Caleb Martin,1610612742,DAL,F,30.0,49,49,1.0,2.9,6.27,0.463,0.467,-0.005
1630544,Tre Mann,1610612766,CHA,G,25.0,38,38,1.0,3.66,6.26,0.584,0.464,0.12
1630164,James Wiseman,1610612754,IND,C,24.0,4,4,1.0,3.25,6.25,0.52,0.502,0.018
1642864,Hugo González,1610612738,BOS,G,20.0,53,53,1.0,2.57,6.17,0.416,0.463,-0.047
203078,Bradley Beal,1610612746,LAC,G,32.0,6,6,1.0,3.17,6.17,0.514,0.461,0.053
1628449,Chris Boucher,1610612738,BOS,F,33.0,8,8,1.0,2.5,6.13,0.408,0.478,-0.07
1628418,Thomas Bryant,1610612739,CLE,C-F,28.0,39,39,1.0,3.28,6.1,0.538,0.489,0.049
1631248,Baylor Scheierman,1610612738,BOS,G,25.0,51,51,1.0,2.61,6.06,0.43,0.46,-0.03
1631172,Ousmane Dieng,1610612749,MIL,F,22.0,35,35,1.0,2.46,6.06,0.406,0.452,-0.047
203482,Kelly Olynyk,1610612759,SAS,F-C,34.0,31,31,1.0,2.81,6.06,0.463,0.469,-0.006
1641711,Gradey Dick,1610612761,TOR,G-F,22.0,56,56,1.0,3.0,6.05,0.496,0.452,0.043
203991,Clint Capela,1610612745,HOU,C,31.0,52,52,1.0,2.48,6.04,0.411,0.483,-0.072
1641761,Grant Nelson,1610612751,BKN,F,23.0,1,1,1.0,2.0,6.0,0.333,0.457,-0.124
203552,Seth Curry,1610612744,GSW,G,35.0,2,2,1.0,4.0,6.0,0.667,0.466,0.201
1642860,Will Riley,1610612764,WAS,F,20.0,47,47,1.0,2.79,6.0,0.465,0.457,0.007
1631205,Buddy Boeheim,1610612760,OKC,F,26.0,2,2,1.0,2.0,6.0,0.333,0.45,-0.117
1642396,Blake Hinson,1610612762,UTA,F,26.0,3,3,1.0,3.33,6.0,0.556,0.434,0.121
203914,Gary Harris,1610612749,MIL,G,31.0,39,39,1.0,2.82,5.97,0.472,0.464,0.008
1630536,Sharife Cooper,1610612764,WAS,G,24.0,16,16,1.0,2.63,5.88,0.447,0.438,0.009
1631123,Jamaree Bouyea,1610612756,PHX,G,26.0,32,32,1.0,2.69,5.88,0.457,0.465,-0.007
