CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FGM_LT_06,FGA_LT_06,LT_06_PCT,NS_LT_06_PCT,PLUSMINUS
1642886,Koby Brea,1610612756,PHX,G,23.0,4,3,0.333,0.25,1.0,0.25,0.605,-0.355
1641753,Chris Livingston,1610612739,CLE,F,22.0,1,1,0.333,1.0,1.0,1.0,0.624,0.376
200768,Kyle Lowry,1610612755,PHI,G,39.0,4,3,0.235,0.0,1.0,0.0,0.557,-0.557
1642443,Jahmir Young,1610612748,MIA,G,25.0,6,5,0.429,0.83,1.0,0.833,0.607,0.227
1642403,Isaac Jones,1610612765,DET,F,25.0,3,3,0.429,1.0,1.0,1.0,0.573,0.427
1641732,Colby Jones,1610612765,DET,G,23.0,1,1,1.0,1.0,1.0,1.0,0.719,0.281
1642911,Rocco Zikarsky,1610612750,MIN,C,19.0,1,1,0.5,1.0,1.0,1.0,0.58,0.42
1642910,John Tonje,1610612738,BOS,G,24.0,2,1,0.4,1.0,1.0,1.0,0.53,0.47
1642468,Darius Brown,1610612739,CLE,G,26.0,1,1,1.0,1.0,1.0,1.0,0.611,0.389
202687,Bismack Biyombo,1610612759,SAS,C,33.0,13,6,0.286,0.77,0.92,0.833,0.621,0.213
1629162,Jordan McLaughlin,1610612759,SAS,G,29.0,22,11,0.317,0.64,0.91,0.7,0.573,0.127
1630604,E.J. Liddell,1610612751,BKN,F,25.0,8,6,0.467,0.5,0.88,0.571,0.632,-0.06
1642876,Adou Thiero,1610612747,LAL,G,21.0,15,10,0.317,0.73,0.87,0.846,0.632,0.214
1642959,Chris Youngblood,1610612760,OKC,G,24.0,21,11,0.29,0.48,0.86,0.556,0.629,-0.074
1642359,Pacôme Dadiet,1610612752,NYK,F,20.0,12,6,0.5,0.42,0.83,0.5,0.581,-0.081
201569,Eric Gordon,1610612755,PHI,G,37.0,6,3,0.217,0.33,0.83,0.4,0.602,-0.202
204060,Joe Ingles,1610612750,MIN,F-G,38.0,10,7,0.421,0.6,0.8,0.75,0.664,0.086
201145,Jeff Green,1610612745,HOU,F,39.0,16,7,0.267,0.56,0.75,0.75,0.621,0.129
1641752,Bobi Klintman,1610612765,DET,F,22.0,8,3,0.24,0.38,0.75,0.5,0.586,-0.086
1641998,Trey Jemison III,1610612752,NYK,C,26.0,7,4,0.2,0.71,0.71,1.0,0.596,0.404
1630548,Johnny Juzang,1610612750,MIN,G,24.0,16,8,0.344,0.44,0.69,0.636,0.664,-0.027
1642400,Tristan Enaruna,1610612739,CLE,F,24.0,3,2,0.5,0.67,0.67,1.0,0.567,0.433
1642384,Isaiah Crawford,1610612745,HOU,F,24.0,3,1,0.2,0.33,0.67,0.5,0.546,-0.046
1642502,Malevy Leons,1610612744,GSW,F,26.0,6,4,0.333,0.5,0.67,0.75,0.611,0.139
1630625,Dalano Banton,1610612738,BOS,F,26.0,3,2,0.4,0.33,0.67,0.5,0.58,-0.08
1630623,Tyson Etienne,1610612751,BKN,G,26.0,5,3,0.25,0.4,0.6,0.667,0.638,0.029
1631216,Caleb Houstan,1610612737,ATL,G,23.0,5,2,0.375,0.6,0.6,1.0,0.679,0.321
1641794,Dillon Jones,1610612752,NYK,F,24.0,5,2,0.375,0.4,0.6,0.667,0.506,0.16
1641813,Mark Sears,1610612749,MIL,G,24.0,5,3,0.3,0.0,0.6,0.0,0.534,-0.534
1630322,Lindy Waters III,1610612759,SAS,F,28.0,24,12,0.2,0.33,0.5,0.667,0.65,0.017
1641787,Tosan Evbuomwan,1610612766,CHA,F,25.0,2,1,0.25,0.0,0.5,0.0,0.522,-0.522
1631210,Jacob Toppin,1610612737,ATL,F,25.0,2,1,0.5,0.0,0.5,0.0,0.539,-0.539
1641810,Antonio Reeves,1610612766,CHA,G,25.0,7,3,0.176,0.29,0.43,0.667,0.536,0.13
203648,Thanasis Antetokounmpo,1610612749,MIL,F,33.0,12,5,0.294,0.25,0.42,0.6,0.652,-0.052
1642938,Curtis Jones,1610612743,DEN,G,24.0,5,2,0.182,0.0,0.4,0.0,0.581,-0.581
202066,Garrett Temple,1610612761,TOR,G-F,39.0,8,2,0.154,0.13,0.25,0.5,0.531,-0.031
1631127,Harrison Ingram,1610612759,SAS,F,23.0,4,1,0.2,0.25,0.25,1.0,1.0,0.0
